id,longitude,latitude,captured_at,captured_date,captured_year,compass_angle,height,width,lsoa_code,lsoa_name,borough,downloaded
1087686972149631,-0.1165012,51.5381899,1658571324600,2022-07-23T10:15:24Z,2022,173.95654339546,3000,4000,E01002714,Islington 017D,Islington,TRUE
573922470889278,-0.1155842,51.5386565,1658571286300,2022-07-23T10:14:46Z,2022,280.58909725123,3000,4000,E01002714,Islington 017D,Islington,TRUE
3297317837173565,-0.1160635,51.5386705,1658571296100,2022-07-23T10:14:56Z,2022,310.18949871542,3000,4000,E01002714,Islington 017D,Islington,TRUE
461978235747016,-0.1165226,51.5384182,1658571318800,2022-07-23T10:15:18Z,2022,177.59348419973,3000,4000,E01002714,Islington 017D,Islington,TRUE
122405780517380,-0.1134454,51.5387179,1658571240300,2022-07-23T10:14:00Z,2022,278.31544319657,3000,4000,E01002714,Islington 017D,Islington,TRUE
740661307165802,-0.114104,51.5386339,1658571258400,2022-07-23T10:14:18Z,2022,245.32796375748,3000,4000,E01002714,Islington 017D,Islington,TRUE
842334246748507,-0.1150853,51.5385948,1658571278200,2022-07-23T10:14:38Z,2022,233.6140457844,3000,4000,E01002714,Islington 017D,Islington,TRUE
170255205508078,-0.1143912,51.5386257,1658571263800,2022-07-23T10:14:23Z,2022,305.66874365742,3000,4000,E01002714,Islington 017D,Islington,TRUE
783317856032121,-0.1163661,51.5387426,1658571302200,2022-07-23T10:15:02Z,2022,272.5221417872,3000,4000,E01002714,Islington 017D,Islington,TRUE
391319859765263,-0.1152063,51.5385991,1658571280300,2022-07-23T10:14:40Z,2022,285.99511909354,3000,4000,E01002714,Islington 017D,Islington,TRUE
2901276270177887,-0.1148256,51.5386035,1658571272300,2022-07-23T10:14:32Z,2022,276.11779860668,3000,4000,E01002714,Islington 017D,Islington,TRUE
1110865763108996,-0.1165359,51.5385377,1658571315800,2022-07-23T10:15:15Z,2022,175.11176605727,3000,4000,E01002714,Islington 017D,Islington,TRUE
593940338999123,-0.1165208,51.5383132,1658571321500,2022-07-23T10:15:21Z,2022,163.89225372203,3000,4000,E01002714,Islington 017D,Islington,TRUE
550296540117580,-0.1161636,51.5387091,1658571297800,2022-07-23T10:14:57Z,2022,287.23746146157,3000,4000,E01002714,Islington 017D,Islington,TRUE
623770678896444,-0.11531,51.5386174,1658571281900,2022-07-23T10:14:41Z,2022,258.46113701222,3000,4000,E01002714,Islington 017D,Islington,TRUE
794191905264765,-0.1136748,51.5387145,1658571246800,2022-07-23T10:14:06Z,2022,264.80012623125,3000,4000,E01002714,Islington 017D,Islington,TRUE
390568066497459,-0.1146034,51.5386487,1658571267800,2022-07-23T10:14:27Z,2022,289.95296073446,3000,4000,E01002714,Islington 017D,Islington,TRUE
309460057240826,-0.11608039028953,51.543083139743,1529249116463,2018-06-17T15:25:16Z,2018,72.78857421875,3024,4032,E01002714,Islington 017D,Islington,TRUE
522580558756324,-0.115923061967,51.543136532466,1529249128462,2018-06-17T15:25:28Z,2018,55.410583496094,3024,4032,E01002714,Islington 017D,Islington,TRUE
